School Year,"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
2010-2011,2,0,0,0,1,19,5,2,0,0,0,8,37
2011-2012,2,0,0,0,2,20,3,2,1,0,0,9,45
2008-2009,8,3,1,0,4,66,47,27,12,3,0,55,464
2009-2010,14,7,1,0,7,61,42,22,12,2,0,64,486
2010-2011,14,7,2,0,8,79,45,27,14,4,0,74,480
2011-2012,10,10,2,0,10,82,46,30,19,3,0,100,571
2008-2009,10,7,2,0,0,30,56,45,9,2,0,5,267
2009-2010,10,9,5,0,0,26,59,50,13,2,3,5,241
2010-2011,8,12,6,0,1,27,64,43,21,2,3,4,254
2011-2012,9,13,5,0,4,27,61,42,19,3,2,7,262
2012-2013,12,8,2,0,2,43,53,45,17,0,1,14,253
2008-2009,0,2,0,0,1,38,17,23,16,1,0,10,546
2009-2010,1,0,0,0,4,36,23,28,24,2,0,55,549
2010-2011,0,2,2,0,6,40,26,33,24,7,1,65,508
2011-2012,2,1,3,0,6,34,26,27,25,5,1,65,502
2012-2013,4,1,3,0,2,32,33,34,29,3,0,82,524
2003-2004,3,2,5,0,2,72,32,18,15,2,0,26,547
2004-2005,3,4,6,0,3,73,49,20,16,1,0,29,566
2005-2006,4,1,5,0,3,63,47,10,15,0,0,50,570
2006-2007,2,3,3,0,5,57,44,14,13,0,0,69,555
2007-2008,6,1,3,0,11,55,40,14,9,1,0,102,542
2008-2009,8,4,4,0,13,63,40,17,14,1,0,106,566
2009-2010,9,5,5,0,15,72,46,22,21,3,0,84,617
2010-2011,10,4,5,0,9,73,49,19,31,3,0,60,650
2011-2012,10,2,4,0,2,69,52,13,37,2,0,36,701
2013-2014,1,5,1,0,4,59,26,12,30,3,0,46,562
2012-2013,11,10,4,0,14,88,40,33,25,0,0,154,614
2013-2014,11,11,5,0,17,128,59,43,30,1,0,214,669
2014-2015,9,11,8,0,23,140,63,40,37,1,2,229,745
2011-2012,6,5,7,0,4,26,15,10,16,0,0,7,93
2012-2013,8,6,5,0,2,33,18,15,20,0,0,2,106
2013-2014,11,3,5,0,2,35,18,15,22,1,0,7,123
2014-2015,13,3,7,0,2,37,28,14,22,1,0,7,138
2014-2015,1,0,0,0,1,20,2,1,6,0,0,15,106
2013-2014,0,0,1,0,0,9,2,1,6,0,0,10,85
2012-2013,0,0,0,0,0,13,1,1,4,0,0,7,67
2011-2012,0,0,0,0,0,10,0,1,1,0,0,3,58
2010-2011,0,0,0,0,0,14,0,0,0,0,0,6,67
2009-2010,0,0,0,0,0,19,0,0,0,0,0,8,70
2010-2011,5,1,8,0,1,56,24,2,23,3,0,10,321
2011-2012,7,0,5,0,1,65,39,4,29,5,1,21,368
2012-2013,10,0,8,0,4,99,63,6,50,7,1,40,498
2013-2014,6,0,13,1,3,102,72,6,58,7,1,51,538
2014-2015,11,1,14,1,6,111,91,5,69,12,5,69,598
2014-2015,17,3,6,0,0,16,86,4,25,0,0,0,66
2013-2014,6,2,5,0,0,13,97,4,23,0,0,0,61
2012-2013,7,2,3,0,0,14,88,11,22,0,0,0,70
2011-2012,9,2,3,0,0,13,75,12,21,1,0,0,64
2010-2011,6,0,2,0,0,9,48,18,21,0,0,0,59
2010-2011,0,1,1,0,0,10,7,5,2,0,1,1,104
2011-2012,1,0,0,0,0,16,3,3,5,1,0,0,126
2012-2013,0,2,0,0,1,16,3,6,5,1,0,5,147
2013-2014,1,3,1,0,0,26,5,10,7,1,2,2,185
2015-2016,19,1,14,1,11,128,107,5,88,17,6,84,634
2006-2007,0,4,0,0,0,17,1,23,4,1,0,0,208
2007-2008,0,4,0,0,0,15,2,40,3,2,0,0,301
2008-2009,1,2,2,0,0,12,1,37,3,2,0,0,279
2009-2010,1,3,0,0,0,12,1,30,3,2,0,0,196
2010-2011,1,4,0,0,0,20,3,31,5,4,0,0,262
2011-2012,1,2,0,0,0,25,4,29,7,4,0,0,233
2012-2013,0,2,0,0,0,26,4,46,7,4,0,0,288
2009-2010,5,5,22,0,0,136,42,11,99,6,0,0,789
2010-2011,6,5,30,1,0,129,36,19,126,4,1,0,768
2011-2012,8,6,29,1,0,123,39,17,129,5,2,0,791
2012-2013,8,3,37,0,0,130,41,15,128,3,1,0,736
2013-2014,8,2,38,0,0,136,47,17,151,4,1,0,755
2014-2015,6,2,27,0,0,100,33,12,124,2,0,0,543
2015-2016,19,2,5,0,0,18,88,3,23,0,0,0,61
2016-2017,24,5,14,0,11,24,97,9,44,1,0,11,80
2015-2016,4,3,24,0,0,112,40,12,134,2,0,0,561
2006-2007,5,6,16,0,0,123,34,12,116,7,0,0,814
2007-2008,5,5,14,0,0,113,40,10,109,5,0,0,808
2008-2009,5,5,14,0,0,120,32,8,103,6,0,0,766
2014-2015,1,0,1,0,0,40,13,6,12,1,0,6,230
2015-2016,1,2,0,0,1,43,16,9,13,2,0,7,276
2008-2009,0,2,1,0,0,0,0,0,0,0,0,0,1
2009-2010,0,3,3,0,0,0,2,2,2,0,0,2,13
2010-2011,0,2,2,0,2,4,3,5,2,0,0,8,21
2011-2012,0,3,1,0,2,8,3,8,3,0,0,11,25
2012-2013,0,4,1,0,5,13,3,7,4,0,1,13,28
2015-2016,0,0,1,0,0,4,5,2,21,0,0,1,33
2008-2009,0,2,3,0,1,32,4,2,3,2,0,6,73
2009-2010,2,4,2,0,3,37,4,2,5,1,0,7,81
2010-2011,2,2,2,0,5,49,6,1,4,0,0,5,93
2011-2012,2,2,3,0,3,65,4,0,6,1,0,9,89
2009-2010,6,11,27,0,0,114,37,22,120,3,0,0,638
2010-2011,7,11,21,0,0,103,33,24,130,2,0,0,610
2011-2012,8,9,23,0,0,81,26,23,141,3,0,0,642
2012-2013,6,9,24,0,0,89,35,27,160,2,0,0,669
2013-2014,9,6,36,0,0,91,35,33,185,3,1,0,701
2014-2015,11,5,39,0,0,83,38,30,174,4,2,0,603
2015-2016,18,5,57,0,0,118,54,29,203,4,2,0,675
2013-2014,0,0,1,0,0,1,3,3,10,1,0,1,17
2014-2015,6,0,8,0,0,3,10,6,54,1,0,4,87
2015-2016,5,1,12,0,1,4,12,9,59,2,0,5,109
2006-2007,0,2,10,0,0,16,17,9,45,2,0,0,269
2007-2008,2,3,13,0,0,23,18,9,57,2,0,0,294
2008-2009,2,3,14,0,0,19,23,13,58,2,0,0,285
2009-2010,3,3,12,0,0,17,23,11,61,0,0,0,284
2010-2011,3,3,11,0,0,18,20,13,62,0,0,7,259
2011-2012,3,3,10,0,0,15,19,15,75,0,0,7,276
2012-2013,3,3,13,0,1,19,26,20,99,0,0,7,289
2013-2014,4,3,20,0,0,23,23,17,117,0,0,5,304
2014-2015,3,2,16,0,1,21,23,9,88,0,1,1,227
2015-2016,3,1,16,0,1,18,17,7,70,0,1,5,194
2006-2007,7,11,16,0,0,83,12,6,27,2,0,0,387
2007-2008,4,5,12,0,0,81,12,10,41,4,0,0,364
2008-2009,1,4,14,0,0,88,12,11,59,4,0,0,355
2009-2010,3,8,15,0,0,97,14,12,59,3,0,0,355
2010-2011,5,8,10,0,3,85,13,11,70,2,0,6,353
2011-2012,5,6,13,0,1,66,7,8,66,3,0,6,367
2012-2013,3,6,11,0,2,70,9,7,64,2,0,10,382
2013-2014,5,3,15,0,3,67,9,15,61,2,1,10,384
2014-2015,5,4,17,0,3,74,15,20,67,3,2,14,401
2015-2016,10,5,36,0,4,113,32,19,103,2,1,17,478
2008-2009,2,0,0,0,0,7,3,0,1,0,0,0,13
2010-2011,1,0,0,0,0,1,1,0,1,0,0,1,1
2011-2012,3,0,0,0,0,4,3,0,0,0,0,0,1
2012-2013,4,0,1,0,0,9,1,0,1,0,0,2,3
2013-2014,4,0,1,0,0,11,1,0,1,0,0,2,5
2014-2015,1,0,0,0,0,8,0,1,0,0,0,1,2
2015-2016,1,0,0,0,1,9,0,1,0,0,0,1,3
2006-2007,1,2,2,0,0,29,3,6,11,1,0,0,89
2007-2008,1,3,4,0,0,25,9,3,14,1,0,0,76
2008-2009,3,0,4,0,0,26,14,3,16,0,0,0,81
2009-2010,2,2,8,0,0,29,12,4,15,0,0,0,77
2010-2011,4,2,14,0,1,29,9,6,13,0,1,3,91
2011-2012,4,1,13,0,2,41,9,7,23,0,0,3,98
2015-2016,2,2,18,0,2,25,14,2,12,0,0,0,58
2015-2016,2,0,1,0,2,27,1,2,2,0,0,4,78
2014-2015,0,0,0,0,0,10,1,0,0,0,0,0,16
2015-2016,15,3,8,2,14,56,17,5,25,3,1,19,116
2014-2015,0,5,1,0,0,13,0,5,12,0,0,3,41
2015-2016,4,7,0,1,0,14,11,15,5,1,1,5,98
2011-2012,6,26,0,0,0,11,3,13,1,0,0,2,100
2012-2013,14,42,1,0,2,27,12,38,4,0,0,2,195
2013-2014,11,32,0,2,0,19,18,19,10,2,0,9,201
2014-2015,13,31,2,2,0,22,19,34,9,2,0,10,191
2012-2013,9,3,8,0,1,38,11,3,28,0,0,3,107
2013-2014,9,4,11,0,1,25,5,4,24,0,0,1,102
2014-2015,5,3,11,0,3,18,9,2,16,0,0,1,73
