"Totals, Female: Asian (Tot. F)","Totals, Female: Black/African American (Tot. F)","Totals, Female: Hispanics of any race (Tot. F)","Totals, Female: Native Hawaiian/Other Pacific Islander (Tot. F)","Totals, Female: Two or more races (Tot. F)","Totals, Female: White (Tot. F)","Totals, Male: Asian (Tot. M)","Totals, Male: Black/African American (Tot. M)","Totals, Male: Hispanics of any race (Tot. M)","Totals, Male: American Indian/Alaska Native (Tot. M)","Totals, Male: Native Hawaiian/Other Pacific Islander (Tot. M)","Totals, Male: Two or more races (Tot. M)","Totals, Male: White (Tot. M)"
6,2,,10,1,1,8,29,,,31,8,29
1,0,1,0,0,15,1,1,5,2,0,0,197
1,1,0,0,0,19,2,3,5,3,0,0,169
1,1,1,0,0,13,5,1,3,3,0,0,174
14,0,5,0,,16,72,2,33,1,2,,143
21,0,3,0,,21,81,5,30,0,1,,142
14,0,2,4,1,17,76,5,41,0,4,5,142
17,1,6,3,1,18,101,3,52,1,5,9,153
1,0,0,0,0,13,8,1,3,1,0,0,205
2,0,0,0,1,16,7,1,3,0,0,5,200
7,1,1,0,6,18,34,5,9,3,0,54,162
6,1,2,0,7,23,36,7,7,1,0,44,189
9,2,2,0,7,26,35,4,6,2,0,45,236
11,2,1,0,11,36,59,12,12,1,0,79,271
9,3,3,0,30,37,93,10,21,0,0,131,301
33,3,6,0,3,58,140,14,41,1,1,17,367
1,1,0,0,1,3,9,2,1,0,0,10,24
0,0,0,0,0,3,7,1,2,0,0,7,23
1,0,0,0,2,3,5,1,4,0,0,7,28
2,0,1,0,2,6,12,2,1,1,0,11,43
6,0,1,0,8,6,19,5,1,1,0,18,58
10,1,1,0,1,28,47,7,2,1,0,5,132
0,1,0,0,2,3,2,2,4,0,0,8,18
0,0,0,0,2,5,2,2,4,0,0,11,15
0,0,1,0,2,0,0,1,4,0,0,7,11
0,0,0,0,3,1,1,0,1,0,0,4,13
0,0,0,0,1,0,1,0,0,0,0,5,19
0,0,0,0,0,1,1,1,0,0,0,3,15
19,3,1,0,0,7,122,10,13,0,0,0,64
9,1,0,0,0,10,92,5,13,1,0,0,58
3,0,1,0,0,8,72,2,10,0,0,0,49
7,0,0,0,0,4,50,8,11,0,0,0,42
4,0,0,0,0,2,43,8,11,0,0,0,36
14,5,6,1,,33,74,15,35,18,6,,33
12,3,4,1,,40,67,7,22,11,8,,305
15,3,5,,,38,42,5,15,6,6,,242
15,2,1,1,,28,45,9,17,3,4,,259
7,1,2,1,,17,4,7,13,2,2,,185
1,3,6,0,0,16,6,6,22,0,3,0,102
2,3,4,0,0,13,2,4,17,0,1,0,79
1,3,1,0,0,13,0,3,12,0,1,0,55
2,2,1,0,0,7,1,3,8,0,0,0,45
0,0,0,0,0,3,1,5,9,0,0,0,37
17,11,20,0,0,48,77,55,161,1,4,0,496
0,1,0,0,0,19,4,2,2,2,0,7,175
0,1,0,0,2,18,3,2,3,2,0,9,193
0,1,0,0,3,23,5,2,5,4,0,7,205
0,0,1,0,1,21,5,2,6,3,0,11,248
0,0,1,0,2,34,3,2,8,2,0,7,271
25,3,29,4,0,7,137,15,136,1,19,9,141
31,3,22,2,2,7,177,16,181,6,14,13,140
50,2,18,0,2,15,246,15,172,9,10,30,150
48,2,20,0,5,13,314,17,190,11,7,40,137
69,5,22,0,8,17,443,18,228,4,7,50,139
3,1,0,0,0,8,3,4,1,0,0,0,75
1,2,0,0,1,7,10,4,2,0,0,1,88
2,3,0,0,1,12,11,7,4,0,1,4,96
2,2,0,0,0,19,12,7,3,0,0,6,94
6,0,1,0,2,18,16,1,9,1,1,12,174
0,0,1,0,0,9,1,0,1,0,0,1,29
0,0,1,0,0,6,1,0,4,0,0,1,28
0,0,1,0,0,7,0,0,2,0,0,1,25
0,0,0,0,0,17,3,1,6,1,0,0,188
0,0,0,0,0,18,5,3,4,2,0,0,183
0,0,0,0,0,19,1,1,5,1,0,0,179
19,3,3,1,4,38,84,14,27,0,1,37,292
59,2,24,0,10,29,180,6,100,1,2,55,232
1,0,1,0,0,29,1,0,1,1,0,0,217
129,12,47,0,0,132,476,34,209,2,2,,657
28,3,1,0,,37,174,13,29,0,0,,555
19,0,1,0,0,6,76,1,4,0,0,0,39
29,0,1,0,0,12,97,0,9,1,0,0,46
41,0,0,0,0,14,110,1,7,0,0,0,55
66,0,5,0,0,16,206,4,17,3,0,0,80
123,1,6,0,0,25,307,3,24,3,0,0,123
143,0,6,0,0,26,379,2,15,1,0,0,130
13,42,12,0,8,65,72,93,65,3,0,33,594
24,56,15,0,6,83,102,107,75,4,1,35,693
39,15,9,0,3,61,186,45,51,0,1,27,537
62,12,10,0,5,90,219,44,57,0,1,31,576
90,12,15,0,10,104,322,55,71,1,1,40,588
136,16,19,0,15,128,418,76,76,1,1,52,636
4,10,1,0,1,13,33,13,7,1,0,6,131
8,7,1,0,1,12,39,12,11,0,0,8,145
7,7,2,0,0,13,45,12,10,0,1,8,138
11,6,2,0,0,17,42,16,11,1,3,7,138
2,5,13,,0,5,15,23,40,,,3,33
2,5,9,,1,5,22,32,49,,,4,44
2,8,10,,1,4,25,43,59,1,,5,43
1,7,8,,3,8,27,48,51,1,,4,41
86,4,12,0,0,57,147,12,21,0,1,0,163
0,6,0,0,0,6,1,11,2,0,0,0,47
1,4,0,0,0,6,2,23,4,0,0,0,72
0,3,0,0,0,7,2,28,3,0,0,,69
0,0,0,0,0,2,1,16,2,0,0,0,60
0,4,0,0,0,3,1,21,5,1,0,0,79
0,3,0,0,0,7,3,17,4,1,0,0,87
1,4,1,0,0,5,5,20,2,0,0,0,94
2,0,0,0,3,19,19,2,8,0,1,12,213
7,1,0,0,1,22,29,1,7,0,2,16,260
11,2,0,0,2,45,49,5,13,1,3,15,420
2,2,3,0,0,16,11,6,4,1,0,0,71
2,4,3,0,2,22,8,5,5,0,0,4,62
2,2,3,0,0,16,11,6,4,1,0,0,71
46,16,7,1,0,67,142,27,30,3,2,0,351
1,5,5,0,0,10,13,21,24,0,0,2,76
41,18,9,1,8,69,146,42,33,1,0,28,345
3,0,1,1,0,14,4,5,20,1,0,4,72
2,2,0,0,0,2,4,1,0,0,0,2,15
13,4,3,0,2,7,123,29,83,0,0,15,162
1,,,,,,3,,,,,,4
5,20,5,,2,21,25,39,15,1,,27,178
4,18,3,0,7,33,25,48,18,1,0,35,182
4,8,1,0,2,13,19,15,6,0,0,4,121
9,0,3,0,3,26,13,1,4,0,0,3,45
11,0,5,0,3,39,17,1,11,0,0,2,43
13,0,6,0,3,36,16,1,11,1,0,2,45
1,0,1,0,0,22,1,6,8,1,0,8,170
7,1,0,0,1,26,59,13,1,0,3,14,282
8,4,5,0,0,16,48,10,45,1,0,7,140
9,5,2,0,1,9,54,12,36,0,0,6,146
15,5,6,0,3,9,81,12,48,0,1,7,154
21,5,7,0,3,10,105,14,73,1,0,6,170
36,5,11,0,2,10,141,17,85,1,0,13,187
41,8,13,0,2,19,188,18,83,1,0,18,201
2,1,2,0,0,15,3,7,1,0,0,5,59
2,1,2,0,1,14,8,5,4,0,0,4,55
2,9,1,0,1,16,4,22,5,3,0,8,177
1,4,1,0,0,18,7,27,6,1,0,7,148
1,9,0,0,2,15,5,23,2,3,0,6,128
0,6,0,0,0,13,3,25,2,1,0,6,133
23,14,5,1,0,103,117,41,46,9,4,0,877
15,0,2,0,6,24,10,1,8,1,0,1,27
2,10,,,,23,14,32,,4,,,137
0,0,2,1,2,20,9,1,5,1,0,3,51
1,0,0,,1,7,4,2,2,,,5,81
96,2,0,0,6,30,132,13,3,1,0,33,112
9,1,5,1,0,49,21,17,12,0,0,5,184
32,5,2,0,0,7,153,9,12,0,0,0,63
1,,,,,3,5,,,,,1,34
1,,,,,3,8,,1,,,,46
2,,,,,2,8,3,3,,1,,33
2,1,,,,3,27,4,,8,1,,43
1,,1,,,2,17,7,8,,1,1,46
49,6,4,0,3,12,181,15,31,0,0,12,66
17,1,0,1,3,39,56,9,6,1,1,5,152
43,3,9,0,9,66,175,16,42,1,1,20,409
22,7,1,0,2,16,46,18,16,0,0,13,129
0,1,3,0,2,4,0,4,3,0,0,1,34
0,0,1,0,0,4,0,2,1,0,0,1,28
1,0,1,0,3,35,2,0,8,0,0,16,259
9,1,4,0,0,20,31,3,20,0,0,0,158
10,1,4,0,0,25,41,3,17,0,0,0,157
15,7,3,0,1,16,45,17,11,2,1,14,219
99,11,11,0,0,52,157,19,24,0,0,0,152
183,1,5,1,,17,377,1,14,1,0,,100
24,1,1,0,1,18,184,9,19,0,2,18,369
24,1,2,0,2,21,242,13,27,0,1,19,401
38,2,2,0,3,31,275,15,24,0,1,13,393
69,1,3,0,4,43,287,15,28,0,0,13,362
94,1,6,0,5,45,301,15,30,0,0,20,313
0,2,35,0,0,3,4,3,169,1,0,0,17
0,2,45,0,0,1,3,3,188,1,0,0,22
168,27,26,0,18,152,460,90,88,1,1,46,662
4,1,5,0,0,19,8,15,29,2,0,0,246
3,1,3,0,0,20,12,7,33,2,0,0,253
3,1,5,0,0,24,14,5,32,1,0,0,221
4,4,4,0,0,26,20,10,29,2,0,0,201
5,5,7,0,1,29,21,15,52,1,0,5,244
7,3,9,0,2,33,29,18,60,1,0,7,278
6,3,12,0,3,28,35,17,72,1,0,8,289
7,3,14,0,4,31,47,14,88,3,1,14,325
8,6,16,0,1,28,58,10,97,3,1,15,296
12,7,16,0,3,38,75,12,114,3,0,23,327
2,0,2,0,2,43,5,4,12,1,0,15,345
9,4,0,0,2,19,14,6,2,1,0,7,78
16,1,8,2,1,21,102,5,47,0,2,17,144
15,0,10,0,2,28,102,6,44,0,2,25,136
23,0,8,0,1,31,114,6,44,0,1,25,137
23,0,10,0,3,28,113,3,46,0,1,27,128
1,1,2,,,23,11,8,14,,,4,218
2,,2,,2,30,20,6,9,1,,6,281
3,1,4,,2,29,22,10,15,1,,6,316
3,1,4,,4,26,34,14,16,1,,12,346
8,,5,,1,23,41,6,21,2,,7,343
3,6,2,0,4,24,8,7,5,1,0,5,61
43,2,18,0,5,8,292,16,136,0,2,36,78
22,11,4,0,0,80,71,31,39,1,0,0,484
22,4,6,0,0,5,110,16,31,2,0,0,140
14,3,5,0,1,8,155,28,70,0,0,6,135
4,4,2,0,2,15,7,12,3,2,0,8,126
8,2,2,0,2,13,14,12,5,1,0,8,168
2,1,2,0,0,4,7,5,7,0,0,2,32
2,0,0,0,0,22,38,4,5,1,0,0,247
8,0,1,0,0,21,48,3,5,3,1,0,236
11,0,2,0,0,16,58,5,4,3,2,0,246
